2024,per_2024,2023,2010,State,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2003,per_2023,per_2010,per_1900,per_1910,per_1920,per_1930,per_1940,per_1950,per_1960,per_1970,per_1980,per_1990,per_2000,per_2003
38889770,11.58,38965193,37319550,CA,1485053,2377549,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,33871648,35484453,0.11657990754033941,0.12088405362391878,0.019557296553758586,0.025871768966937454,0.03245626329285642,0.04626342395888776,0.05252706741440579,0.07032931442919058,0.08802236080568879,0.0985556938620007,0.10476812382726322,0.1199502796768179,0.12060411768712838,0.12225631000348039
30976754,9.22,30503301,25241897,TX,3048710,3896542,4663228,5824715,6414824,7711194,9579677,11196730,14229191,16986510,20851820,22118509,0.0912627844613818,0.08176258369989549,0.04014976271985535,0.04240099127040847,0.04416606210833186,0.04746509525203182,0.04878138327844498,0.051229129355246705,0.053649859434029,0.055304670140313754,0.06298680992720772,0.06846556409463098,0.07424543834627761,0.07620597372936173
22975931,6.84,22610726,18846143,FL,528542,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,17019068,0.06764900013455466,0.061045702882699324,0.006960595100051426,0.00818977227730217,0.00917251015177816,0.011964323570351664,0.014428841628684965,0.018411097208531128,0.027730632043143064,0.03353549702024272,0.043142990861320424,0.052147404134492176,0.0569071985287569,0.05863662188559911
19469232,5.8,19571216,19399956,NY,7268894,9113614,10385227,12588066,13479142,14830192,16782304,18236967,17558072,17990455,18976457,19190115,0.05855509433077904,0.06283959269084609,0.09572716635422202,0.09917159051689227,0.09835988733365064,0.10257905352087839,0.10250182891480505,0.09852401902106793,0.09398732865201433,0.09007892878499235,0.07772240486140272,0.0725120492610945,0.06756798055154362,0.06611663559932682
12951275,3.86,12961683,12711406,PA,6302115,7665111,8720017,9631350,9900180,10498012,11319366,11793909,11863895,11881643,12281054,12365455,0.038780041605521856,0.04117429831119086,0.08299524122768029,0.0834094190689365,0.08258845855439831,0.07848503234160928,0.07528569374710754,0.06974328680110138,0.06339278399285561,0.05825435166426963,0.052516611756870085,0.047889966235914475,0.043728184762016266,0.04260330291167477
12516863,3.73,12549689,12840545,IL,4821550,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12653544,0.037547397321502154,0.04159260040221123,0.06349704906072356,0.06135744148745318,0.06142296264946138,0.062181534881156866,0.06005438965484479,0.05787912887027299,0.05645834506030181,0.05489591841790985,0.050580522630964596,0.04607200736768277,0.04422040151583205,0.04359586994075065
11812173,3.52,11785935,11539449,OH,4157545,4767121,5759394,6646697,6907612,7946627,9706397,10652017,10797630,10847115,11353140,11435798,0.03526232277552045,0.0373781401894309,0.054752483918483884,0.051874368582702536,0.05454799832012372,0.054163354982414445,0.052528778421790816,0.05279322275135291,0.054359539957441236,0.05261413703054504,0.047796692621127644,0.04372021370336421,0.0404242342350288,0.039400310480344196
11145304,3.32,11029227,9712209,GA,2216331,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,8684715,0.03299832914728319,0.03145941453106232,0.029187808534973717,0.028391665416268946,0.02742681592392542,0.02370116208794869,0.023754280541242283,0.02288396997095871,0.022082959491439083,0.022669559010463816,0.024182931850965955,0.026110997065722386,0.029148860458521098,0.02992187055361615
10975017,3.27,10835491,9574586,NC,1893810,2206287,2559123,3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,8407248,0.03241869067437135,0.03101363139295147,0.024940391882628803,0.02400814769275314,0.024237799515884825,0.025834303020015645,0.02716032590903655,0.02698532628965474,0.02551621263531624,0.025102114334150487,0.026036172898256327,0.026717281618386733,0.028660556827720115,0.028965900017231223
10041241,2.99,10037261,9877597,MI,2420982,2810173,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,10079985,0.030030467431234196,0.03199513299124612,0.03188294486817075,0.03057945245844587,0.034744025432801036,0.03945968469981707,0.039969938588827116,0.04233067208986869,0.04381288204447176,0.04383722191951635,0.040999431838181964,0.03746548010934154,0.035387037259094534,0.034729062076578505
9320865,2.78,9290841,8799451,NJ,1883669,2537167,3155900,4041334,4160165,4835329,6066782,7168164,7364823,7730188,8414350,8638396,0.027797254456098663,0.028502843859184952,0.02480684072697869,0.02760868375563986,0.029889955071397866,0.03293247880029748,0.03163588016858639,0.032123390335682865,0.03397630228210172,0.035406136035402484,0.03260105978256443,0.031157176016588885,0.029960315413666578,0.029762285452415597
8752297,2.61,8715698,8024004,VA,1854184,2061612,2309187,2421851,2677773,3318680,3966949,4648494,5346818,6187358,7078515,7386330,0.026076484902551902,0.025991045706996434,0.024418540182225355,0.022433838109526177,0.021870621908633363,0.01973545287644606,0.02036306390411825,0.022047569677104497,0.022216433417531916,0.022960581108879795,0.023668176854283067,0.024938669316147213,0.02520391260886106,0.02544848162850382
7841283,2.33,7812880,6743009,WA,518103,1141990,1356621,1563396,1736191,2378963,2853214,3409169,4132156,4866692,5894121,6131445,0.02337534496553801,0.021841695881717946,0.006823119455259836,0.01242678970761608,0.01284874068852462,0.012739977845550476,0.013202824990301629,0.015804582696057935,0.01597909094797284,0.01683910990062128,0.018291364882344396,0.01961561339291166,0.02098673388274981,0.021124965366925336
7497004,2.23,7431344,6407342,AZ,122931,204354,334162,435573,499261,749587,1302161,1770900,2718215,3665228,5130632,5580811,0.022233827929979865,0.020754416221920872,0.0016189307874197735,0.002223718407262915,0.003164893427094792,0.003549446442308895,0.003796618924693759,0.00497986296104226,0.007292600221330493,0.00874711101825994,0.012032426266980669,0.014773011204504994,0.0182682385438508,0.01922783929307952
7204002,2.14,7126489,6355518,TN,2020616,2184789,2337885,2616556,2915841,3291718,3567089,3923687,4591120,4877185,5689283,5841748,0.02132173267324111,0.020586549910697773,0.026610354198314444,0.023774212960282336,0.022142424541999113,0.02132208696430218,0.022173446598067893,0.021868448287385062,0.019977064303803884,0.019380499062568918,0.02032301082984984,0.019657906316181063,0.020257383298485473,0.020126858217321585
7020058,2.09,7001399,6566440,MA,2805346,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6433422,0.0209474760736595,0.02126976035558428,0.036944798372785644,0.03663232051099755,0.0364861838965208,0.034629734380886956,0.03282640671156563,0.03116131541348793,0.02883400828494887,0.02810085357262065,0.025395516798134062,0.024249709414002063,0.022606731204663964,0.02216538139717726
6892124,2.05,6862199,6490555,IN,2516462,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6195643,0.020531003784413682,0.02102395657688783,0.03314036172464178,0.02939011556874166,0.027754119408623087,0.026390278901026198,0.02606659675718626,0.026136921235351634,0.02611177415600143,0.025653396202549604,0.02430297657440919,0.02234620138953353,0.021650305545653368,0.02134614985551259
6215144,1.85,6196156,5996089,MO,3106665,3293335,3404055,3629367,3784664,3954653,4319813,4676501,4916686,5117073,5595211,5704484,0.01853827064543269,0.019422301292748426,0.04091299684131302,0.0358370751773061,0.032240264587143845,0.029575395596107442,0.0287803913504303,0.026272640798832767,0.024192606935629572,0.02309891773900482,0.021764158380737402,0.020624795173252518,0.019922428513909782,0.019653935888877695
6196525,1.84,6180253,5788784,MD,1188044,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5508909,0.01849069048152553,0.018750806895401553,0.01564585831408951,0.014095563306685398,0.01372993509260677,0.0132951632820089,0.013849608595273736,0.01556567002574081,0.017365045710689406,0.019374137168056794,0.018666823910985997,0.0192721108585829,0.01885878186004495,0.018980111838978134
5931367,1.77,5910955,5690538,WI,2069042,2333860,2632067,2939006,3137587,3434575,3951777,4417731,4705767,4891769,5363675,5472299,0.017684978164360866,0.018432572223966995,0.02724809685323135,0.025396358485640737,0.024928661990211657,0.02394970393165898,0.023859709014069027,0.02281751528431219,0.02213146440789484,0.02182075978644108,0.020830506217164875,0.01971668836068321,0.01909801645717115,0.01885397762720862
5914181,1.76,5877610,5047539,CO,539700,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,4550688,0.017585213304555536,0.01634979454856292,0.007107539562603833,0.00869473744896035,0.008899353146101747,0.008440570650443376,0.008542078895873703,0.008803196468434655,0.009822774818476328,0.010902444812837213,0.01279268885802945,0.013278333428112528,0.015315162340109802,0.01567870647060892
5761530,1.72,5737915,5310934,MN,1751394,2075708,2387125,2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5059375,0.017167260025488046,0.017202973520556743,0.02306485481694826,0.022587226517234264,0.022608783231347837,0.020893429698574564,0.02123398187205166,0.019814053103426557,0.019118945631141006,0.01879411810845307,0.01804265243603806,0.017634206261607353,0.01751640263489266,0.017431310507276483
5464155,1.63,5373555,4635846,SC,1340316,1515400,1683724,1738765,1899804,2117027,2382594,2590516,3121820,3486703,4012012,4147152,0.01607713184079259,0.015016254388282533,0.017651193248825123,0.016490124364417734,0.015946777373375045,0.01416904455340718,0.014447016329352587,0.014064417265542776,0.013343438738942962,0.012795488760844017,0.013819020559001253,0.014053451104755605,0.014285256135460882,0.014288384283211402
