2024,2023,2010,State,1900,1990,2000,2003,2024_per,2023_per,2010_per,1990_per,2000_per,2003_per
38889770,38965193,37319550,CA,1485053,29760021,33871648,35484453,11.578768496693364,11.657990754033941,12.088405362391878,11.99502796768179,12.060411768712838,12.22563100034804
30976754,30503301,25241897,TX,3048710,16986510,20851820,22118509,9.222802380806577,9.12627844613818,8.176258369989549,6.846556409463098,7.4245438346277615,7.620597372936174
22975931,22610726,18846143,FL,528542,12937926,15982378,17019068,6.8406932220221535,6.764900013455466,6.104570288269932,5.214740413449218,5.69071985287569,5.8636621885599105
19469232,19571216,19399956,NY,7268894,17990455,18976457,19190115,5.796633154076622,5.855509433077904,6.283959269084609,7.25120492610945,6.756798055154362,6.611663559932682
12951275,12961683,12711406,PA,6302115,11881643,12281054,12365455,3.856022161149638,3.8780041605521856,4.117429831119086,4.788996623591448,4.372818476201626,4.260330291167477
12516863,12549689,12840545,IL,4821550,11430602,12419293,12653544,3.7266833663924164,3.7547397321502154,4.159260040221123,4.607200736768277,4.422040151583205,4.359586994075065
11812173,11785935,11539449,OH,4157545,10847115,11353140,11435798,3.5168738876545675,3.526232277552045,3.73781401894309,4.372021370336421,4.04242342350288,3.9400310480344194
11145304,11029227,9712209,GA,2216331,6478216,8186453,8684715,3.318324969298367,3.299832914728319,3.1459414531062317,2.6110997065722388,2.9148860458521098,2.992187055361615
10975017,10835491,9574586,NC,1893810,6628637,8049313,8407248,3.2676249072770074,3.241869067437135,3.101363139295147,2.6717281618386735,2.8660556827720116,2.8965900017231223
10041241,10037261,9877597,MI,2420982,9295297,9938444,10079985,2.9896089629356455,3.0030467431234196,3.1995132991246122,3.746548010934154,3.5387037259094534,3.4729062076578505
9320865,9290841,8799451,NJ,1883669,7730188,8414350,8638396,2.7751292441156585,2.7797254456098663,2.850284385918495,3.1157176016588886,2.9960315413666576,2.9762285452415598
8752297,8715698,8024004,VA,1854184,6187358,7078515,7386330,2.6058477789224224,2.60764849025519,2.5991045706996436,2.493866931614721,2.520391260886106,2.544848162850382
7841283,7812880,6743009,WA,518103,4866692,5894121,6131445,2.3346088334813304,2.337534496553801,2.1841695881717946,1.961561339291166,2.0986733882749813,2.1124965366925337
7497004,7431344,6407342,AZ,122931,3665228,5130632,5580811,2.232105608615946,2.2233827929979864,2.0754416221920873,1.4773011204504993,1.82682385438508,1.9227839293079518
7204002,7126489,6355518,TN,2020616,4877185,5689283,5841748,2.14486923958964,2.132173267324111,2.058654991069777,1.9657906316181064,2.025738329848547,2.0126858217321586
7020058,7001399,6566440,MA,2805346,6016425,6349097,6433422,2.0901030377747216,2.0947476073659503,2.1269760355584277,2.4249709414002063,2.2606731204663966,2.216538139717726
6892124,6862199,6490555,IN,2516462,5544159,6080485,6195643,2.052012862161547,2.053100378441368,2.102395657688783,2.234620138953353,2.165030554565337,2.134614985551259
6215144,6196156,5996089,MO,3106665,5117073,5595211,5704484,1.8504535652849783,1.8538270645432688,1.9422301292748425,2.0624795173252517,1.9922428513909782,1.9653935888877694
