iter	Passed	Remaining
0	12	12609
1	19	9708
2	28	9541
3	38	9637
4	47	9550
5	58	9667
6	69	9814
7	80	9957
8	89	9827
9	98	9800
10	107	9673
11	117	9652
12	126	9571
13	135	9518
14	144	9462
15	151	9326
16	160	9273
17	168	9197
18	176	9092
19	184	9062
20	193	9011
21	201	8965
22	210	8922
23	217	8853
24	225	8796
25	233	8732
26	240	8660
27	248	8629
28	256	8578
29	265	8579
30	273	8559
31	284	8610
32	294	8624
33	306	8695
34	321	8871
35	339	9097
36	350	9130
37	362	9167
38	371	9153
39	381	9153
40	390	9127
41	399	9113
42	409	9107
43	417	9070
44	426	9055
45	434	9020
46	444	9011
47	452	8970
48	461	8965
49	469	8916
50	477	8885
51	485	8845
52	494	8829
53	501	8784
54	509	8755
55	516	8704
56	524	8681
57	532	8640
58	541	8635
59	548	8592
60	557	8579
61	564	8535
62	571	8498
63	578	8454
64	585	8419
65	591	8377
66	598	8334
67	606	8309
68	613	8272
69	619	8236
70	626	8196
71	632	8157
72	640	8128
73	646	8090
74	653	8058
75	660	8026
76	667	7998
77	674	7971
78	682	7953
79	690	7943
80	699	7931
81	708	7930
82	716	7914
83	729	7951
84	739	7955
85	747	7944
86	756	7939
87	764	7924
88	775	7934
89	783	7924
90	791	7908
91	801	7910
92	812	7920
93	821	7919
94	831	7922
95	840	7912
96	850	7913
97	857	7894
98	865	7878
99	872	7848
100	878	7822
101	885	7796
102	891	7767
103	898	7744
104	905	7717
105	913	7708
106	924	7717
107	935	7727
108	944	7720
109	953	7713
110	961	7701
111	969	7683
112	976	7663
113	985	7659
114	997	7678
115	1005	7665
116	1015	7664
117	1025	7666
118	1034	7657
119	1042	7643
120	1049	7627
121	1058	7619
122	1069	7622
123	1078	7618
124	1087	7611
125	1108	7690
126	1140	7837
127	1158	7890
128	1176	7946
129	1186	7942
130	1196	7939
131	1205	7925
132	1214	7914
133	1220	7890
134	1228	7868
135	1234	7844
136	1253	7895
137	1261	7882
138	1268	7857
139	1276	7839
140	1282	7814
141	1291	7801
142	1297	7777
143	1304	7756
144	1312	7736
145	1318	7713
146	1326	7699
147	1333	7677
148	1341	7663
149	1348	7643
150	1356	7625
151	1364	7609
152	1371	7593
153	1379	7579
154	1387	7563
155	1395	7547
156	1403	7533
157	1410	7518
158	1417	7499
159	1426	7488
160	1433	7471
161	1442	7460
162	1449	7441
163	1457	7430
164	1465	7415
165	1473	7404
166	1480	7386
167	1489	7375
168	1496	7356
169	1504	7344
170	1510	7324
171	1518	7310
172	1526	7298
173	1535	7289
174	1547	7296
175	1558	7295
176	1567	7286
177	1574	7271
178	1581	7254
179	1589	7242
180	1596	7224
181	1606	7219
182	1613	7201
183	1621	7190
184	1627	7171
185	1635	7159
186	1642	7140
187	1649	7126
188	1656	7109
189	1664	7094
190	1671	7081
191	1678	7063
192	1688	7059
193	1702	7072
194	1718	7095
195	1730	7096
196	1740	7094
197	1752	7098
198	1760	7087
199	1770	7081
200	1779	7074
201	1788	7066
202	1799	7063
203	1808	7056
204	1818	7050
205	1826	7038
206	1835	7030
207	1843	7019
208	1852	7009
209	1860	7000
210	1869	6991
211	1878	6983
212	1887	6973
213	1896	6966
214	1904	6955
215	1914	6948
216	1924	6942
217	1935	6942
218	1945	6937
219	1954	6930
220	1967	6936
221	1976	6926
222	1984	6914
223	1992	6901
224	2002	6897
225	2010	6884
226	2017	6870
227	2025	6856
228	2032	6842
229	2039	6828
230	2047	6816
231	2053	6799
232	2062	6788
233	2068	6772
234	2077	6762
235	2085	6751
236	2094	6744
237	2103	6733
238	2112	6727
239	2121	6716
240	2130	6710
241	2139	6699
242	2147	6689
243	2154	6676
244	2161	6661
245	2169	6648
246	2177	6638
247	2183	6622
248	2191	6611
249	2198	6596
250	2206	6585
251	2213	6570
252	2221	6558
253	2228	6543
254	2234	6529
255	2242	6518
256	2250	6506
257	2258	6494
258	2264	6479
259	2272	6466
260	2278	6451
261	2285	6438
262	2292	6424
263	2299	6410
264	2306	6397
265	2313	6382
266	2320	6370
267	2327	6356
268	2334	6343
269	2341	6329
270	2347	6315
271	2354	6302
272	2361	6289
273	2369	6277
274	2375	6263
275	2382	6248
276	2390	6238
277	2398	6229
278	2405	6217
279	2413	6207
280	2422	6197
