,importance
Term_main_key_RevLineCr_label_med,37540.89111223221
CreateJob_main_key_LowDoc_label_med,32966.11405727863
LowDoc_label,28124.642519187928
NoEmp_main_key_LowDoc_label_med,26263.499371719357
NoEmp,24707.0263794899
Term_main_key_NoEmp_label_med,23519.95803899765
RevLineCr_label,21356.223404026034
BankState,20650.0708319664
NoEmp_main_key_RevLineCr_label_med,20597.08390779495
CreateJob_main_key_RevLineCr_label_med,16640.653725528715
SBA_Appv_main_key_LowDoc_label_med,16627.07431769371
NoEmp_label,14358.379184818268
Term,13990.477013492586
GrAppv_main_key_LowDoc_label_med,13980.694788718225
State,13077.019122886657
NoEmp_main_key_NoEmp_label_med,12551.019606375692
DisbursementGross_main_key_LowDoc_label_med,12116.995041656493
GrAppv_main_key_RevLineCr_label_med,11697.843797540665
SBA_Appv,11545.450628399849
Term_main_key_LowDoc_label_diff,11086.155651545525
RetainedJob,10702.519643950462
Term_main_key_NoEmp_label_diff,10693.199412560461
SBA_Appv_main_key_RevLineCr_label_med,9835.26121172905
Term_main_key_City_med,9740.9459287405
ApprovalFY,9536.862400579452
NoEmp_main_key_State_diff,9362.265371799469
Term_main_key_State_diff,9338.227144813538
Term_main_key_RevLineCr_label_diff,9327.725228214264
Term_main_key_LowDoc_label_med,9192.700213241578
svd_City_truncatedsvd16,8892.790189862251
CreateJob,8721.46222345829
NoEmp_main_key_City_diff,8615.676457428932
RetainedJob_main_key_RevLineCr_label_med,8566.24962565899
DisbursementGross_main_key_RevLineCr_label_med,8191.380574011802
RetainedJob_main_key_LowDoc_label_med,7871.382966375351
svd_City_truncatedsvd0,7365.897011017799
CreateJob_main_key_City_diff,7197.376455593109
RetainedJob_main_key_City_diff,7157.502848744392
NewExist,7130.469764447213
SBA_Appv_main_key_LowDoc_label_diff,6643.386623644829
DisbursementGross,6382.152839684486
Term_main_key_City_diff,6370.499800634384
RetainedJob_main_key_NoEmp_label_diff,6323.352981686592
DisbursementGross_main_key_NoEmp_label_med,6196.556752753257
City_label,6157.082596540451
SBA_Appv_main_key_City_diff,6081.612000823021
NoEmp_main_key_RevLineCr_label_diff,6071.01485197544
SBA_Appv_main_key_RevLineCr_label_diff,6034.070375466346
svd_City_truncatedsvd1,6023.671012639999
svd_City_truncatedsvd6,6021.171498560905
RetainedJob_main_key_RevLineCr_label_diff,5898.821303868293
SBA_Appv_main_key_NoEmp_label_med,5826.199314713479
SBA_Appv_main_key_NoEmp_label_diff,5816.729340243339
GrAppv,5769.459689164161
RetainedJob_main_key_LowDoc_label_diff,5730.848628377915
DisbursementGross_main_key_RevLineCr_label_diff,5679.751545977593
SBA_Appv_main_key_State_diff,5555.293072271347
GrAppv_main_key_RevLineCr_label_diff,5373.586278653145
RetainedJob_main_key_State_diff,5329.33034465313
DisbursementGross_main_key_City_diff,5261.911094260216
NoEmp_main_key_LowDoc_label_diff,5195.837850832939
CreateJob_main_key_LowDoc_label_diff,5171.994744920731
FranchiseCode,5029.571131443977
CreateJob_main_key_State_diff,4879.81230559349
DisbursementGross_main_key_NoEmp_label_diff,4854.889763474464
CreateJob_main_key_NoEmp_label_diff,4808.079500818252
DisbursementGross_main_key_State_diff,4743.904380059243
CreateJob_main_key_RevLineCr_label_diff,4704.639529132843
GrAppv_main_key_City_diff,4518.697906494141
GrAppv_main_key_NoEmp_label_diff,4320.064301204682
svd_City_truncatedsvd13,4272.001991558074
GrAppv_main_key_LowDoc_label_diff,4168.006173491478
DisbursementGross_main_key_LowDoc_label_diff,4167.510288119316
svd_City_truncatedsvd15,4063.650407266617
svd_City_truncatedsvd10,4061.560187768936
svd_City_truncatedsvd2,4055.7973473310467
GrAppv_main_key_NoEmp_label_med,4037.374971461296
svd_City_truncatedsvd7,3847.8277382612223
svd_City_truncatedsvd4,3755.186809587479
svd_City_truncatedsvd5,3665.1836812496185
GrAppv_main_key_State_diff,3602.477490401268
svd_City_truncatedsvd12,3581.479306197166
svd_City_truncatedsvd11,3470.0868437528607
svd_City_truncatedsvd8,3201.8589954614636
svd_City_truncatedsvd3,3126.6225905895235
svd_City_truncatedsvd9,2796.1976497888563
Sector,2786.907409715652
RetainedJob_main_key_NoEmp_label_med,2702.4218703269958
SBA_Appv_main_key_State_med,2692.1433305263517
svd_City_truncatedsvd14,2639.4279946804045
NoEmp_main_key_NoEmp_label_diff,2533.9620385408402
DisbursementGross_main_key_State_med,2501.896150970459
nmf_City_nmf7,2204.8630855083466
nmf_City_nmf14,2045.3086430549624
SBA_Appv_main_key_City_med,1973.6973775863646
GrAppv_main_key_City_med,1866.495075058937
GrAppv_main_key_State_med,1718.0303537368773
DisbursementGross_main_key_City_med,1572.8646854400636
nmf_City_nmf16,1426.4287692308428
Term_main_key_State_med,1325.3978484392167
NoEmp_main_key_State_med,775.8927066802978
nmf_City_nmf2,654.1948776721955
NoEmp_main_key_City_med,460.6982322692871
nmf_City_nmf15,336.2616814613342
RetainedJob_main_key_State_med,299.4250143527985
RetainedJob_main_key_City_med,244.7436192512512
CreateJob_main_key_NoEmp_label_med,203.055118060112
nmf_City_nmf0,199.34169087409973
nmf_City_nmf12,181.47487144470213
CreateJob_main_key_City_med,149.67332582473753
CreateJob_main_key_State_med,55.40457623004913
nmf_City_nmf10,50.954432201385494
nmf_City_nmf9,43.076376247406
nmf_City_nmf4,40.449370336532596
nmf_City_nmf3,31.197480058670045
nmf_City_nmf5,23.832421708106995
nmf_City_nmf8,14.874268007278442
nmf_City_nmf11,9.931821918487548
nmf_City_nmf13,8.720664024353027
nmf_City_nmf1,7.904423904418945
nmf_City_nmf6,2.4862420082092287
